Sr.No,Name,CMP,P/E,Mar_cap,Div_yid,NP_Qtr,Qtr_profit_var,Sales_Qtr,Qtr_Profit_var,ROCE,Sales_growth,Sales_Var_10_years,ROE
115,Systango Tech,240.9,25.26,353.37,0,9.63,nan,29.95,nan,95.87,54.18,3.49,0.93
116,Knowledge Marine,1398.5,32.1,1510.52,0,23.36,nan,78.82,nan,89.07,103.51,58.83,27.27
117,Waaree Renewab.,1316.15,48.54,2739.54,0.08,11.1,11.78,128.94,35.68,84.06,295.34,74.43,30.49
118,Lloyds Metals,570.4,24.28,25372.77,0.09,403.25,52.7,1965.52,133.25,81.99,108.46,532.37,373.93
119,Dreamfolks Servi,519.65,37.6,2715.17,0.1,13.09,-2.6,266.3,66.17,76.91,28.19,13.12,5.41
120,Phantom Digital,534.25,38.39,621.87,0,6.06,47.45,23.65,94.01,75.34,64.77,10.4,1.07
121,Jyoti Resins,1506.5,34.04,1807.8,0.17,15.74,73.54,61.18,-4.27,72.9,52.59,47.26,18.79
122,Netweb Technolog,815.1,97.36,4569.86,0,5.09,-9.27,59.8,-13.72,64.41,41.82,23.36,6.22
123,Innokaiz India,142.4,16.16,145.58,0,3.64,nan,75.59,nan,62.13,17.07,0.35,0.17
124,Guj. Themis Bio.,801.85,20.11,1164.98,0.67,17.72,-0.28,49.59,10.35,61.14,20.51,32.66,17.08
125,Homesfy Realty,418,36.91,127.71,0,1.86,nan,28.54,nan,60.14,64.56,1.46,0.12
126,Macfos,322.05,38.4,284.54,0,4.49,nan,44.39,nan,58.06,70.34,5.53,1.06
127,Kotyark Indust.,582.5,44.36,508.77,0.34,7.29,29.48,65.14,-25.59,55.91,63.99,10.31,5.61
128,CFF Fluid,364.65,70.03,710.12,0,3.74,nan,31.7,nan,55.69,30.53,26.28,10.11
129,Technvision Ven.,199,nan,124.97,0,-6.84,-3520,31.26,-9.68,54.81,25.92,4.55,1.66
130,Global Education,165.55,13.06,337.07,1.81,6.6,89.66,14.04,16.13,54.26,31.96,12.5,2.64
131,Praveg,471.45,43.46,1038.23,0.85,1.17,-79.29,11.97,-40.3,53.08,12.31,33.78,3.09
132,K.P. Energy,368.95,16.75,820.18,0.09,15.04,52.38,111.75,-9.78,51.84,80.23,141.27,80.6
133,Prudent Corp.,1160.1,38.31,4803.59,0.13,28.06,44.86,165.43,28.82,51.45,37.74,164.14,27.47
134,Sumuka Agro,145.55,27.81,103.44,0,1.48,1750,11.47,407.52,51.19,284.76,0.2,0.1
135,Jainam Ferro,117.35,5.33,123.94,0,2.84,nan,90.04,nan,51.17,28.12,5.56,2.2
136,Axita Cotton,26.1,27.97,513.02,0.19,5.75,29.21,227.87,11.36,48.66,4.49,9.82,3.4
137,Refex Industries,695.15,12.35,1536.77,0,22.01,59.05,381.37,43.81,48.06,35.1,146.76,21.94
138,Anand Rathi Wea.,1391.95,32.05,5802.8,0.86,52.36,32.66,167.71,31.07,47.91,18.02,110.18,32.13
139,Tata Elxsi,7008.15,57.48,43644.26,0.86,188.85,2.24,850.27,17.13,47.74,25.01,333.59,147.06
140,Gensol Engineer.,1709.35,83.38,2088.64,0,12.43,19.63,146.63,45.63,46.26,70.28,50.14,1.21
141,PNGS Gargi FJ,197.5,37.88,190.15,0,1.28,39.13,6.52,22.33,46.15,nan,1.29,0
142,Hawkins Cookers,6902.6,39.47,3651.48,1.45,20.8,-9.84,203.43,2.88,45.83,14.28,66.17,32.29
143,Sagar Diamonds,39,2.32,49.31,0,7.5,nan,4056.11,nan,45.3,53.46,8.35,2.81
144,Clean Science,1375.2,50.17,14611.15,0.36,58.94,-6.3,188.11,-19.64,44.5,30.68,460.09,165.58
145,Bombay Metrics,185,41.42,113.9,0.22,0.09,nan,26.7,nan,44.49,32.85,5.48,0.11
146,Vinyl Chemicals,426.75,27.73,782.54,1.17,3.5,-67.95,115.31,-62.89,44.41,39.58,0.85,0.21
147,NINtec Systems,403.65,135.1,749.82,0,2.69,120.49,13.14,104.67,44.36,61,1.77,0.64
148,Angel One,1761.25,15.89,14769.54,2.26,220.8,21.59,807.5,18.4,43.95,58.95,186.53,124.06
149,Dev Labtech,60.95,56.01,50.41,0,0.45,nan,20.68,nan,43.17,37.04,4.15,0.81
150,Bhatia Colour,46.18,20.4,56.5,0,1.05,nan,49.68,nan,42.9,nan,0.52,nan
151,Yudiz Solutions,172.35,63.75,177.85,0,nan,nan,nan,nan,41.01,42.67,4.68,0.99
152,Sonata Software,1003.9,30.32,14075.92,1.57,120.12,11.47,2015.53,13.3,39.12,25.78,1732.27,298.14
153,Expleo Solutions,1407.85,17.88,2184.95,0.36,20.19,-12.06,225.12,5.99,38.83,49.52,142,25.99
154,Seacoast Ship.,3.73,12.36,200.93,0,4.99,-50.05,99.73,7.17,38.41,838.31,0.04,0
155,VST Industries,3456.05,16.49,5336.14,4.34,83.7,-3.95,333.29,10.74,38.05,1.41,590.24,187.1
156,Tanla Platforms,1098.25,30.58,14760.52,0.91,135.4,34.85,911.11,13.87,37.91,19.97,483.56,257.34
157,M B Agro Prod.,631.8,26.94,2768.14,0.04,7.24,-74.75,149.03,-30.04,37.76,96.74,203.15,83.17
158,Shivalik Bimetal,517.7,39.17,2982.17,0.1,20.23,18.23,113.07,15.74,37.71,30.93,103.49,45.41
159,Tube Investments,2785.8,61.43,53840.03,0.13,283.69,13.91,3897.66,3.21,37.66,46.59,3592.62,1514.6
160,Anlon Tech,258.5,32.63,144.89,0,1.87,49.6,10.69,12.29,37.58,33.93,3.98,1.73
161,Safari Inds.,3466.6,55.52,8240.43,0.1,49.94,87.81,426.68,45.6,37.49,20.9,184.05,79.44
162,Fineotex Chem,277.5,32.62,3073.27,0.29,26.13,29.89,132.23,-2.61,37.3,38.09,98.88,40.6
163,MOS Utility,96.65,42.43,241,0,3.72,nan,52.84,nan,37.14,-42.37,11.51,5.42
164,Balaxi Pharma,465.75,13.53,476.47,0.11,-41.34,-75.97,65.96,-20.32,36.69,94.63,41.41,0.19
165,M K Exim India,99.93,14.75,268.93,0,3.74,100,25.76,20.54,36.63,28.6,6.94,1.82
166,Cosmic CRF,300,32.4,207.66,0,nan,nan,nan,nan,35.66,nan,41.48,nan
167,BIGBLOC Const.,140.8,36.1,996.69,0.21,5.9,-30.01,54.87,-1.21,35.49,18.99,86.2,67.78
168,Srivari Spices &,106.55,24.31,76.1,0,nan,nan,nan,nan,34.96,473.35,4.86,1.58
169,JTL Industries,382.1,31.12,3222.71,0.05,25.37,110.19,504.8,37.16,34.58,88.87,65.36,23.68
170,Silicon Rental,147.85,14.23,151.87,0.68,5.25,nan,18.71,nan,34.56,43.56,39.97,10.91
171,Network People,1422.35,80.55,919.12,0,5.16,3340,24.48,622.12,34.35,39.05,13.06,2.97
172,Timescan Logist.,156.75,14.72,54.77,0,1.77,nan,87.4,nan,34.27,46.14,2.73,1.97
173,MPS,1487.35,26.78,2544.23,1.34,24.65,54.55,80.25,16.46,33.72,16.67,74.14,30.42
174,Advait Infratech,432.2,43.86,440.84,0.12,6.53,nan,64.45,nan,33.68,36.06,17.17,2.14
175,F A C T,452.55,45.2,29283.24,0,71.81,-9.53,1232.57,-4.63,33.46,30.8,813.79,257.54
176,Magellanic Cloud,357.6,50.4,4179.59,0.03,18.89,89.47,137.78,67.23,32.91,34.81,429.1,46.35
177,Srivasavi Adhes.,140,54.82,198.44,0,1.81,nan,28.61,nan,32.48,8.76,10.17,4.92
178,SBC Exports,22.25,42.5,470.9,0,4.58,95.73,49.61,23.47,32.46,19.8,7.71,3.82
179,Prevest Denpro,450.35,33.55,540.56,0,4.08,10.87,13.39,8.25,32.25,30.19,7.41,5.2
180,BLS Internat.,259.35,44.62,10654.62,0.19,70.99,126.16,383.49,40.57,32.19,24.48,233.71,41.17
181,Epigral,886.85,13.29,3684.88,0.56,31.68,-70.61,454.89,-14.63,32.07,53.04,1804.05,440.17
182,Brand Concepts,443,42.35,468.82,0.11,3.12,64.21,58.06,82.01,31.88,31.81,15.33,3.78
183,Coforge,4920.15,40.32,30065.69,1.3,175.7,10.42,2221,21.41,31.61,24.19,2311.9,1079.3
184,CG-VAK Software,510.25,21.17,257.69,0.2,3.16,8.97,20.76,21.12,31.56,25.13,26.91,6.87
185,C D S L,1145.45,41.03,11969.95,1.4,73.68,27.7,149.68,6.78,31.46,37.28,124.59,74.35
186,Insolation Ener,256.15,49.96,533.61,0,6.08,nan,163.71,nan,31.39,nan,37.86,nan
187,Trans India,18.85,10.93,39.44,0,0.34,200,12.73,1036.61,31.28,nan,0.03,0
188,Galaxy Bearings,1450.2,25.39,461.16,0,3.48,176.19,28.94,61.77,31.19,35.03,11.69,8.26
189,Monarch Networth,328.1,23.36,1111.26,0.3,17.03,37.09,41.34,26.97,31.19,30.58,8.2,4
190,DRC Systems,41.35,25.53,181.54,0,1.11,58.57,7.11,59.06,31.14,nan,5.35,nan
191,Bizotic Commer.,47.75,63.98,38.39,0,nan,nan,nan,nan,31.12,88.6,0.57,0.02
192,Guj. Containers,191,11.68,107.92,0,2.27,-44.9,31.91,-23.95,30.67,21.44,11.96,9.74
193,R Systems Intl.,508.9,46.87,6020.46,1.28,14.43,-54.65,406.78,8.48,30.64,23.26,145.34,72.03
194,KPIT Technologi.,1152.65,73.2,31599.19,0.36,134.44,57.47,1097.62,60.07,30.41,15.99,1684.44,526.42
195,B N Rathi Sec.,42.58,4.31,35.77,3.52,2.21,33.13,10.38,3.28,30.4,21,3.29,0.27
196,Dhunseri Invest.,693.9,1.86,423.08,0.36,40.77,-73.7,52.95,34.15,30.34,46.77,78.01,54.83
197,Persistent Sys,4851.7,38.62,37079.12,0.82,228.77,8.11,2321.18,23.59,30.3,32.8,2341.33,431.53
198,AGI Infra,597.8,14.48,730.32,0.17,13.34,21.05,68.81,23.58,29.97,38.36,170.56,29.25
199,Aaron Industries,272.2,47.22,273.4,0.29,1.61,30.89,15.52,29.23,29.71,37.68,18.92,9.29
200,Priti Internati.,179.55,27.41,208.62,0,1.77,12.03,17.25,33.72,29.57,52.85,7.12,0.74
201,Indo Borax & Ch.,159.6,10.62,512.16,0.63,10.38,-11.51,54.98,4.68,29.23,25,96.22,45.52
202,Rajnandini Metal,8.9,16.77,246.07,0.75,4.59,27.86,265.86,1.92,29.22,90.67,34.87,16.92
203,Lloyds Engineeri,42.85,107.01,4236.57,0.23,12.84,2.07,113.12,122.81,29.2,39.78,33.34,14.25
204,Thomas Scott,68.15,11.32,37.58,0,1.15,61.97,18.38,42.59,29.02,42.52,4.17,1.3
205,Vasundhara Rasy.,205.1,10.94,65.18,0.98,0.96,60,8.33,-15.77,28.79,21.4,0.86,0.3
206,Fidel Softech,91.5,19.63,125.82,0.77,1.56,188.89,9.22,35.19,28.62,14.24,0.32,0.76
207,E2E Networks,335.55,33.92,485.71,0,6.97,173.33,19.46,28.11,28.61,38.16,42,9.6
208,Danlaw Tech.,799,29.5,296.23,0,3.66,325.58,46.39,24.2,28.53,121.69,33.66,7.67
209,Chemcrux Enterp.,308.8,35.56,457.3,0.65,2.33,-39.16,22.29,-17.14,28.5,18.31,33.1,15.4
210,Gokul Agro,110.05,12.67,1623.71,0,24.05,-14.93,2468.86,-13.81,28.21,24.35,354.95,240.15
211,CMS Info Systems,351.05,19.44,5420.21,0,75.33,4.77,456.57,14.31,28.17,13.6,752.72,328.1
212,Lancer Containe.,220.2,24.84,1355.42,0,14.12,6.25,164.25,-29.1,28.12,46.68,131.27,65.97
213,Apcotex Industri,528.35,31.67,2739.23,1.04,12.12,-63.89,277.73,-9.39,28,29.61,385.31,124.88
214,Dhunseri Vent.,253.2,2.18,886.71,1.97,40.21,-77.18,40.32,3.04,27.94,49.17,76.67,53.94
215,India Pesticides,211.75,20.49,2438.59,0.35,15.89,-61.59,201.44,-7.79,27.8,22.65,237.13,99.42
216,Grindwell Norton,2190.65,66.38,24254.88,0.66,96.88,4.81,668.35,4.76,27.78,17.18,585.68,384.57
217,Upsurge Seeds,382,56.66,269.68,0,4.62,nan,53.24,nan,27.73,67.7,10.9,2.44
218,Ratnamani Metals,2608.75,32.8,18285.25,0.46,134.86,54.16,1174.93,20.28,27.64,20.06,1121.87,499.92
219,JFL Life,50.85,19.9,55.93,0,1.81,nan,23.58,nan,27.47,12.39,6.8,5.05
220,Happiest Minds,891.55,61.35,13576.06,0.61,57.44,9.33,357.05,16,27.37,24.04,199.02,37.8
221,Oriana Power Ltd,285.45,49.42,547.57,0,nan,nan,nan,nan,27.11,nan,29.04,nan
222,Dhanuka Agritech,770.25,16.15,3510.67,1.82,32.94,-32.93,369.07,-6.02,27.01,14.93,164.61,117.45
223,Oil India,288.35,4.27,31268.82,6.94,1399.49,-49.93,6208.22,-41.86,26.86,24.69,18098.06,8294.44
224,Caplin Point Lab,1057.1,20.38,8025.69,0.43,104.23,21.7,395.32,14.15,26.82,19.33,280.04,272.5
225,Frog Cellsat,239.5,21.4,368.24,0,2.99,nan,33.4,nan,26.68,15.2,8.13,9.32
226,Hind. Unilever,2554.75,57.93,600261.83,1.53,2556,8.05,15496,5.96,26.61,15.05,52678,5479
227,Sealmatic India,621.65,51.43,562.59,0.18,5.55,nan,32.91,nan,26.61,20.94,15.27,nan
228,Markolines Pavem,130.35,15.62,249.07,0.38,9.07,nan,159.55,nan,26.54,22.14,21.11,9.97
229,KMC Speciality,73.31,43.45,1195.69,0,6.94,13.58,40.84,16.52,26.38,17.43,84.27,39.41
230,Asarfi Hospital,113.45,27.84,223.24,0,nan,nan,nan,nan,26.21,17.08,38.57,18.4
231,Chamanlal Setia,216.4,9.11,1119.51,0,27.47,23.35,263.35,-35.74,26.19,20.26,132.87,36.88
232,Bajaj Auto,4615.55,19.97,130600.38,3.03,1644.14,41.33,10311.91,28.82,26.18,6.81,2842.23,1699.02
233,Concord Biotech,942.8,41.89,9863.22,0,nan,nan,nan,nan,26.17,18.53,592.98,239.6
234,Dixon Technolog.,4737.8,101.94,28218.41,0.04,67.19,47.9,3271.5,14.59,25.75,40.45,1243.64,414.08
235,Jindal Stain.,418.6,16.39,34468.97,0,737.58,48.09,10183.96,25.44,25.53,40.21,9973.18,6180.58
236,Krishna Institu.,1930.05,45.86,15445.76,0,86.68,15.52,606.03,22.3,25.43,25.1,1766.32,915.98
237,Mastek,2103.4,23.68,6437.58,0.33,73.53,-9.16,725.25,27.18,25.4,33.74,1740.25,856.74
238,H.G. Infra Engg.,936.65,11.43,6104.25,0.13,150.39,37.41,1351.16,22.18,25.36,27.75,634.83,482.69
239,Arham Tech,105,25.02,88.83,0,2.27,nan,27.06,nan,25.17,52.05,2.61,3.63
240,India Gelatine,370.35,8.46,262.66,1.35,10.04,248.61,58.04,29.21,25.06,15.87,59.95,42.66
241,Trident Lifeline,222,37.16,255.28,0,1.4,100,8.64,44.72,25.06,85.93,3.11,0.77
242,Metro Brands,1096.55,85.25,29797.11,0.36,93.5,-11.39,582.52,14.68,24.83,18.29,1302.84,708.04
243,Shree Ganesh Rem,428.35,27.2,514.31,0.12,4.75,65.51,26.72,51.47,24.68,15.58,35.23,16.27
244,KPI Green Energy,849.3,25.35,3068.86,0.18,33.26,49.62,189.36,54.79,24.66,121.65,800.63,212.99
245,Pidilite Inds.,2477.6,90.77,125974.88,0.44,473.69,32.39,3275.11,5.61,24.55,17.39,4914.08,1806.71
246,Blue Star,747.65,49.97,14401.82,1.61,83.37,12.26,2226,12.59,24.46,14.17,858.89,443.79
247,Jupiter Wagons,272.35,60.11,10552.13,0,63.6,374.27,753.19,154.97,24.39,154.32,462.88,111.05
248,D.K. Enterprises,96,16.76,72.08,0.52,1.97,nan,61.92,nan,24.04,45.39,13.63,5.22
249,eMudhra,528.45,65.43,4125.73,0.24,16.38,13.56,79.75,52.72,24.04,28.79,162.04,62.48
250,MCON Rasayan,171,94.55,107.79,0,0.47,nan,18.01,nan,24.04,51.33,1.12,1.27
251,Agarwal Indl.,821.5,12.75,1228.78,0.3,27.57,17.52,628.76,8.26,23.84,36.8,340.5,101.83
252,Alufluoride,431.25,21.24,337.26,0.46,3.64,109.2,36.63,36.12,23.64,21.58,63.88,21.43
253,Kaycee Inds.,11050,19.95,69.62,0.54,0.87,1.16,11.31,12.2,23.61,20.99,7.41,2.98
254,Annapurna Swadi.,350.3,80.57,575.26,0,4.27,nan,94.56,nan,23.42,126.52,23.57,nan
255,Dabur India,565.5,58.42,100208.56,0.92,456.61,3.7,3130.47,10.91,23.32,9.91,3578.65,2252.68
256,GMM Pfaudler,1509.15,36.48,6784.72,0.13,54.27,21.93,912.27,23.41,23.18,75.18,1213.27,133.55
257,Campus Activewe.,306.25,79.64,9340.18,0,31.48,0.51,353.76,4.75,23.11,32.85,373.22,146.25
258,Shri Techtex,88.55,24.25,220.93,0,nan,nan,nan,nan,23.1,52.4,38.43,10.15
259,Thejo Engg.,1589.9,52.1,1701.35,0.13,13.5,20.99,134.69,20.83,22.8,16.01,111.92,31.77
260,Venus Pipes,1432.65,55.37,2907.72,0.03,17.41,91.11,179.61,58.11,22.79,45.91,59.86,12.28
261,Dolat Algotech,44.85,8.71,789.36,0.56,12.87,-66.35,18.96,-61.29,22.75,18.21,1.42,0.37
262,Bodhi Tree,141.3,54.18,176.63,0,1.26,730,16.21,367.15,22.75,16.85,0.28,0.04
263,Gufic BioScience,264.1,32.29,2560.3,0.04,20.62,-2.04,195.02,17.99,22.64,22.16,159.57,82.58
264,J B Chem & Pharm,2668.15,46.22,20668.56,0.67,142.32,35.5,896.2,14.19,22.41,21.07,1901.01,651.26
265,Nirlon,409.6,19.08,3691.32,6.35,49.78,250.07,148.26,7.26,22.37,22.7,1932.21,741.17
266,Yasho Industries,1803.3,35.29,2055.62,0.03,14.55,-29.33,151.75,-17.28,22.34,31.17,176.66,106.39
267,Jay Jalaram Tech,376.35,166.88,418.88,0,1.71,nan,132.82,nan,22.34,37.84,7.29,2.95
268,Route Mobile,1535.6,27.52,9588.78,0.72,91.69,32.1,967.34,32.69,22.03,55.12,966.54,175.62
269,Megastar Foods,280,36.81,280.1,0,1.97,40.71,56.83,-2.29,21.9,18.19,39.85,17.36
270,Mankind Pharma,1848.1,59.31,74032.75,0,409.28,37.27,2300.21,11.59,21.87,19.23,3199.17,944.76
271,Kaynes Tech,1748.35,98.23,10165.34,0,25.19,109.39,290.59,51.61,21.8,44.53,133.7,54.25
272,Indrayani Biotec,54.51,22.34,186.57,0,-0.45,-125.14,42.31,65.08,21.75,48.48,57.48,17.36
273,Kilpest India,592.45,17.86,444.82,0.42,7.21,55.56,14.28,22.16,21.6,28.91,7.79,3.87
274,RACL Geartech,1262.4,33.87,1361.07,0.12,8.78,45.12,88.44,13.05,21.58,19.04,227.06,108.39
275,Indigo Paints,1498.05,49.74,7128.96,0.23,31.29,57.16,277.02,23.68,21.55,19.77,264.69,200.75
276,Tega Inds.,988.25,36.01,6567.14,0.2,21.39,-7.2,268.07,9.66,21.39,21.02,548.2,265.93
277,Bansal Roofing,106.83,30.62,140.84,0,1.15,57.53,28.93,19.89,21.25,31.47,25.14,4.59
278,Vaishali Pharma,131.05,20.79,138.86,0,1.59,5.3,13.42,31.83,21.2,5.05,2.65,1.49
279,Goldiam Intl.,126.05,17.07,1373.63,1.59,17.3,-18.58,119.77,-11.22,21.15,13.52,45.28,22.02
280,All E Tech,118,17.12,238.29,0,4.05,38.23,27.03,19.87,21.06,17.75,3.23,2.38
281,Mallcom (India),999.15,16.32,623.47,0.3,8.52,22.77,94.47,8.11,20.54,12.58,107.03,42.53
282,Edvenswa Enter,41,13.32,74.46,0,1,-14.53,19,76.91,20.54,nan,7.83,nan
283,Paushak,6774.35,41.5,2087.93,0.26,9.14,-20.87,48.61,-3.36,20.51,15.47,148.8,40.74
284,Navin Fluo.Intl.,4414.8,60.42,21887.38,0.16,61.53,-17.35,491.15,23.55,20.45,25.08,1645.88,528.76
285,Ami Organics,1280.05,54.76,4664.13,0.23,16.65,12.05,142.35,8.66,20.45,37.05,263.23,85.19
286,R O Jewels,5.39,13.53,27.19,0,1.1,279.31,272.84,1547.58,20.44,59.27,0.55,0.1
287,Hind.Oil Explor.,170.8,9.41,2258.72,0,66.07,104.23,167.61,87.44,20.42,40.38,1246.44,25.53
288,Carborundum Uni.,1089.5,47.93,20695.84,0.32,117.76,43.75,1203.22,5.56,20.4,21.44,1526.74,748.37
289,Uma Exports,47.65,6.54,161.1,0,0.57,-85.57,323.7,-8.64,20.31,22.51,8.73,2.45
290,Affle India,1082.85,56.32,14429.09,0,66.17,21.35,406.58,17.01,20.22,62.56,834.38,162.77
291,A B Infrabuild,33.2,7.01,42.06,0,6.81,nan,79.6,nan,20.15,24.61,2.94,0.99
292,Sarda Energy,199.1,11.76,7015.91,0.38,172.41,0.61,1052.12,-16.57,19.81,28.18,2907.89,1323.01
293,General Insuranc,202.35,4.96,35500.28,3.56,977.66,34.05,11165.84,-11.7,19.78,-2.52,320.13,209.07
294,Cyient,1541.9,28.23,17049.56,1.69,169.1,51.55,1686.5,34.91,19.77,10.76,2824.6,1305
295,Kirloskar Indus.,3574.1,16.32,3533.66,0.31,94.03,-16.14,1508.23,0.79,19.7,50.21,3109.16,896.64
296,Associated Cera.,140.8,15.33,42.31,0,-0.35,-138.21,7.99,-16.6,19.67,18.36,25.29,9.74
297,Sanmit Infra,78.43,262,1239.25,0.04,0.52,-45.83,33.51,-11.16,19.64,40.16,3.04,1.15
298,V-Marc India,96,20.93,218.74,0,8.05,nan,132.53,nan,19.61,13.3,54.92,10.03
299,Sigachi Indust.,374.75,27.69,1152.08,0.27,10.88,-15.13,84.7,8.16,19.6,29.51,122.31,31.59
300,Data Pattern,2158.55,89.14,12084.42,0.21,25.83,81.39,89.69,31.16,19.6,42.68,112.04,33.35
301,DHP India,791.75,14.33,237.53,0.51,4.15,-62.27,16.88,-59.39,19.57,25.2,26.24,10.42
302,Chandra Pr. Intl,23.77,nan,43.95,1.26,-2.04,-123.69,277.36,-4.23,19.41,83.01,1.89,0.26
303,Vidli Restaurant,77.9,46.34,84.33,0.64,0.63,93.33,6.9,21.91,19.3,nan,5.75,nan
304,Lorenzini Appar.,202.75,81.58,205.57,0,0.74,nan,14.2,nan,19.17,7.76,8.23,2.22
305,InfoBeans Tech.,462.5,40.45,1123.8,0.22,3.46,-70.25,91.6,-4.78,19.11,35.01,216.51,101.2
306,Pritika Engineer,51.3,15.77,55.83,0,0.98,13.95,21.49,2.97,18.99,56.01,41,16.5
307,Tarsons Products,517.35,39.32,2752.63,0,9.6,-52.73,62.57,-8.83,18.95,17.21,224.85,92.04
308,Dharmaj Crop,216.3,19.53,731.04,0,14.51,42.39,161.94,18.14,18.87,39.75,39.96,21.81
309,Sandur Manganese,1238.5,12.08,3344.67,0.4,39.8,17.79,362.53,-44.37,18.85,53.17,877.65,306.4
310,Shreyas Shipping,334.8,5.9,735.22,0.45,1.31,-98.22,70.68,-52.92,18.79,-7.56,1043,399.65
311,Supriya Lifesci.,269.15,23.26,2166.19,0.22,28.51,12.91,132.02,30.25,18.54,13.94,261.54,98.57
312,Dr Lal Pathlabs,2241.95,70.93,18712.4,0.54,83.6,43.15,541,7.62,18.49,14.88,1307,413.02
313,Crompton Gr. Con,290.8,39.96,18601.87,1.03,122.03,-5.59,1876.85,0.75,18.49,14.97,3249.94,908.97
314,Golkunda Diamond,100.85,10.51,70.19,1.49,0.44,-86.25,54.9,-17.59,18.45,20.7,8.42,3.36
315,Rossari Biotech,809.75,41.48,4472.03,0.06,29.22,1.88,410.61,-5.54,18.45,40.26,583.61,93.54
316,Aether Industri.,1050.85,100.65,13084.21,0,30.2,-1.37,161.11,0.69,18.44,29.2,646.19,129.33
317,Kings Infra,128.6,43.44,302.37,0,2.15,117.17,20.96,87.14,18.42,22.48,20.9,1.87
318,Virtuoso Optoel.,241.9,71.1,552.47,0,2.73,nan,224.74,nan,18.32,70.38,88.48,11.24
319,Kwality Pharma,381.1,12.87,395.44,0,5.45,-48.34,67.45,-3.94,18.27,21.92,119.58,41.63
320,Dr Agarwal's Eye,2246.65,26.83,1055.93,0.13,11.54,26.67,77.8,17.19,18.23,15.04,260.37,93.58
321,Hindustan Foods,544.15,77.07,6134.89,0,23.37,56.95,619.25,3.55,18.19,49.86,554.08,249.76
322,Sportking India,793.1,15.7,1053.81,0,18.18,-78.12,538.92,-11.12,18.09,17.64,756.97,466.43
323,DB Intl.Stock,31.5,17.58,110.25,0,1.99,-5.24,10.44,52.63,18.08,40.56,3.08,0.58
324,Antony Waste han,322.8,14.46,913.11,0,22.61,-21.25,221.99,-5.58,18,23.84,527.59,258.78
325,Radhika Jeweltec,35.1,12.44,414.18,0.57,13.83,35.32,108.1,77.3,17.87,22.09,13.75,0.58
326,M M Rubber,125.45,35.37,78.17,0,0.17,-67.31,10.52,1.64,17.82,11.62,19.5,10.2
327,Carysil,621.4,36.78,1666.34,0.39,11.66,-38.04,141.67,-17.3,17.73,29.07,328.08,124.84
328,Wipro,411.7,19.41,226019.35,0.24,2886,12.16,22831,6.05,17.71,13.96,44756.8,22062.1
329,HLE Glascoat,570.4,79.27,3893.86,0.18,7.71,-40.78,126.49,-10.2,17.7,18.8,227.49,88.49
330,Sky Gold,297.75,13.34,319.9,0.34,10.67,101.7,375.7,20.14,17.7,16.92,9.16,3.71
331,Wardwizard Inno.,40.2,113.98,1040.67,0.25,1.75,-15.05,37.87,-30.72,17.68,1340.1,53.06,0.42
332,Vidhi Specialty,410.2,58.15,2048.74,0.2,8.38,-23.82,79.67,-33.99,17.58,21.61,46.58,31.05
333,Religare Enterp.,225.35,138.67,7299.34,0,92.53,182.85,1284.62,35.15,17.58,25.18,201.43,174.97
334,Haldyn Glass,98.34,17.94,528.59,0.71,9.15,38.85,72.92,-4.55,17.49,11.73,57.31,50.42
335,QMS Medical,142.25,39.8,253.92,0,2.46,267.16,25.96,5.92,17.46,12.67,7.97,3.24
336,Inflame Applian.,655.5,105.07,481.2,0,2.81,nan,40.6,nan,17.34,71.26,13.08,11.8
337,Shree Vasu Logis,184,102.91,210.97,0,0.73,-20.65,29.19,17.65,17.3,17.3,98.6,24.98
338,Destiny Logistic,18.5,13.75,28.47,0,1,nan,49.63,nan,17.3,103.3,5.56,0
339,Servotech Power,90.8,135.5,1930.9,0.02,4.03,1051.43,68.14,124.66,17.11,42.76,21.51,8.43
340,Osia Hyper Reta.,41.8,41.13,431.06,0,3.7,nan,205.34,nan,17.09,29.36,65.24,24.59
341,ADF Foods,1092.4,38.15,2400.3,0.46,14.73,92.55,112.42,15.66,17.06,16.44,174.91,77.2
342,Aegis Logistics,355.3,26.23,12471.03,1.62,132.69,12.03,2100.53,-6.04,17.02,6.3,3661.16,1698.71
343,ERIS Lifescience,830.25,30.13,11291.9,0.89,93.65,0.61,466.62,17.07,17.01,16.2,2568.45,874.85
344,Hariom Pipe,555.8,29.45,1534.88,0,15.44,61.84,240.12,68.73,17.01,58.79,134.52,49.5
345,Reetech Intl,59.85,27.5,25.3,0,2.46,nan,69.49,nan,16.98,nan,1.2,nan
346,Rushil Decor,265.45,11.24,704.55,0.19,12.2,-55.15,192.82,-8.52,16.92,35.69,641.28,197.27
347,Solex Energy,640.5,189.08,512.4,0.02,3.17,nan,141.12,nan,16.8,5.45,54.55,1.13
348,Vippy Spinpro,149.4,15.47,87.7,0,0.14,-97.3,64.36,44.11,16.75,12.2,59.92,12.62
349,Vesuvius India,3398.6,43.3,6899.16,0.24,52.24,77.51,405.05,22.87,16.66,14.82,219.64,123.92
350,Indo US Bio-Tech,394.9,54.69,395.93,0.05,2.37,31.67,19.14,33.1,16.66,15.8,5.54,1.41
351,NDR Auto Compon.,465,17.13,553.01,0.54,8.24,103.46,127.63,102.46,16.62,59.6,133.48,33.44
