Sr.No,Name,CMP,P/E,Mar_cap,Div_yid,NP_Qtr,Qtr_profit_var,Sales_Qtr,Qtr_Profit_var,ROCE,Sales_growth,Sales_Var_10_years,ROE
506,Le Merite Export,45.5,46.45,106.84,2.2,0.02,nan,195.69,nan,5.9,nan,3.58,nan
507,MRP Agro,123.5,118.68,36.79,0,0.08,nan,12.72,nan,5.82,-6.96,2.21,0.02
508,Danube Industrie,17.06,55.63,51.18,0,0.38,72.73,16.14,53.28,5.74,78.45,0.86,0
509,G K P Printing,11.62,35.5,25.56,0,0.14,-51.72,9.07,-28.75,5.72,28.25,3.5,0.92
510,Godrej Propert.,1526,65.43,42427.24,0,133.69,188.48,936.09,282.59,5.69,-2.65,217.68,112.96
511,Medplus Health,883.5,210.02,10540.66,0,3.77,17.81,1284.3,29.25,5.63,16.66,1139.52,419.46
512,Pashupati Cotsp.,107.85,40.11,164.84,0.7,3.47,nan,267.14,nan,5.58,3.7,111.66,104.77
513,Caprihans India,209.75,nan,275.4,0,-10.67,-112.13,170.99,-28.54,5.55,47.9,1029.22,19.67
514,Elegant Marbles,162.8,12.01,59.58,2.03,0.7,331.03,7.76,-1.77,5.5,51.36,1.95,0.92
515,FSN E-Commerce,132,2107.19,37655.45,0,5.42,-27.47,1421.82,23.81,5.5,42.77,727.68,227.03
516,PG Foils,263.1,nan,310.33,0.76,5.57,-45.71,83.76,-31.18,5.48,15.79,38.28,37.04
517,Nahar Poly,236.55,34.95,581.63,0.63,-2.23,-109.16,156.2,-30.4,5.35,37.66,269.47,28.82
518,Elpro Internatio,65.59,21.64,1111.61,0.35,19.5,21.42,51.5,116.93,5.27,3.88,418.39,198.81
519,Shemaroo Entert.,143.8,49.6,390.88,0,-1.03,-512,153.5,59.9,5.22,2.75,35.98,34
520,DCM Nouvelle,142.75,nan,266.62,0,-0.89,-102.87,255.43,-0.25,5.22,nan,276.35,nan
521,V-Mart Retail,2198.95,nan,4347.87,0.03,-21.95,-207.33,678.52,15.42,5.17,14.04,1445.45,667.04
522,Sonal Mercantile,71.19,5.56,104.92,0,5.03,8.64,9.64,69.42,5.11,26.26,0.18,0
523,Supreme Holdings,87.68,26.86,311.09,0,2.03,-15.77,13.59,-25.45,4.4,-2.27,435.74,8.96
524,Pace E-Commerce,18,65.42,40.56,0,0.51,nan,9.05,nan,4.38,167.03,22.61,0.03
525,Palred Technolog,150.55,nan,184.16,0,-1.18,-236.84,33.05,-9.43,4.2,48.11,6.92,2.28
526,Aarnav Fashions,29.51,nan,124.65,1.69,0.23,-91.02,78.67,-32.48,3.96,123.78,134.42,0.02
527,Dynemic Products,332.3,54.35,388.07,0,1.91,123.38,68.16,4.48,3.65,17.53,259.31,36.07
528,DIC India,444.95,134.35,408.42,0.45,-2.57,-250.29,207.69,-4.1,3.6,3.3,168.12,59.39
529,Sagardeep Alloys,22.35,82.87,38.12,0,0.12,-40,17.66,-41.17,3.52,37.09,9.41,4.69
530,Hinduja Global,1003.25,21.08,5269.1,1.5,16.64,-57.16,1133.49,-1.32,3.47,-3.33,2812.27,1732.8
531,PVR Inox,1720.85,nan,16860.33,0,-82,-253.38,1304.9,32.96,3.4,3.18,14208.55,5886.03
